season,team,playoffs,age,Strength of Schedule,o_rtg,d_rtg,pace,f_tr,3pt Attempt Rate,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,attend_g
2023,Boston Celtics,TRUE,27.4,-0.15,118,111.5,98.5,0.243,0.48,0.6,0.566,12,22.1,0.197,0.528,11.3,78.5,0.18,19156
2023,Brooklyn Nets,TRUE,28,0.18,115,114.1,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,17669
2023,Chicago Bulls,FALSE,27.5,0.07,113.5,112.2,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,20528
2023,Charlotte Hornets,FALSE,25.3,0.35,109.2,115.3,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,17123
2023,Cleveland Cavaliers,TRUE,25.4,-0.15,116.1,110.6,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,18958
2023,Dallas Mavericks,FALSE,27.8,-0.22,116.8,116.7,96.6,0.298,0.487,0.599,0.565,11.4,18,0.225,0.549,11.9,75.5,0.226,20178
2023,Denver Nuggets,TRUE,26.6,-0.29,117.6,114.2,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,19235
2023,Detroit Pistons,FALSE,24.1,0.49,110.7,118.9,99,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74,0.231,18596
2023,Golden State Warriors,TRUE,27.3,-0.15,116.1,114.4,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,0.54,12.3,76,0.214,18064
2023,Houston Rockets,FALSE,22.1,0.24,111.4,119.3,99,0.285,0.359,0.554,0.516,14,30.2,0.215,0.564,11.8,75.8,0.218,16314
2023,Indiana Pacers,FALSE,24.5,0.28,114.6,117.7,101.1,0.265,0.413,0.581,0.545,13,23.4,0.209,0.554,13,72.2,0.229,15648
2023,Los Angeles Clippers,TRUE,29.7,-0.19,115,114.5,98,0.278,0.387,0.588,0.551,12.8,22.9,0.217,0.543,11.7,76.6,0.195,17574
2023,Los Angeles Lakers,TRUE,27.9,-0.15,114.5,113.9,101.3,0.299,0.351,0.582,0.542,12.3,22.8,0.232,0.535,10.9,76.3,0.171,18614
2023,Memphis Grizzlies,TRUE,24.4,-0.34,115.1,111.2,101.1,0.259,0.372,0.57,0.54,11.7,26.5,0.19,0.526,13.1,75.9,0.206,17264
2023,Miami Heat,TRUE,27.7,0.18,113,113.3,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,19688
2023,Milwaukee Bucks,TRUE,29.8,-0.02,115.4,111.9,100.5,0.248,0.446,0.583,0.555,12.7,25,0.184,0.52,10.4,77.8,0.175,17531
2023,Minnesota Timberwolves,TRUE,25.8,-0.18,113.7,113.8,101,0.271,0.381,0.592,0.56,13.6,21.5,0.205,0.54,13.3,74.3,0.225,16769
2023,New Orleans Pelicans,FALSE,25.9,-0.26,114.4,112.5,99.1,0.279,0.344,0.582,0.543,12.9,24.7,0.221,0.543,13.4,77.4,0.212,16773
2023,New York Knicks,TRUE,24.5,0.06,117.8,114.8,97.1,0.285,0.4,0.577,0.541,11.4,28.3,0.217,0.536,11.4,77.1,0.21,19393
2023,Oklahoma City Thunder,FALSE,22.8,-0.12,115.2,114.2,101.1,0.256,0.369,0.57,0.531,11.2,24.7,0.207,0.547,14.4,72.9,0.222,15534
2023,Orlando Magic,FALSE,23.1,0.17,111.6,114.2,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,17766
2023,Philadelphia 76ers,TRUE,28.2,0.06,117.7,113.3,96.9,0.3,0.389,0.608,0.563,12.6,21.6,0.25,0.541,13,77.2,0.217,20470
2023,Phoenix Suns,TRUE,28.1,0.01,115.1,113,98.2,0.241,0.362,0.57,0.535,12,26.6,0.191,0.532,12.9,76,0.234,17071
